,name,category,subCategory,CO2e_20a,CO2e_100a
0,"Carbon dioxide, fossil",Emission to air,low population density,1.0,1.0
1,"Carbon dioxide, fossil",Emission to air,unspecified,1.0,1.0
2,"Carbon dioxide, fossil",Emission to air,"low population density, long-term",1.0,1.0
3,"Carbon dioxide, fossil",Emission to air,lower stratosphere + upper troposphere,1.0,1.0
4,"Carbon dioxide, fossil",Emission to air,high population density,1.0,1.0
5,"Carbon dioxide, from soil or biomass stock",Emission to air,indoor,1.0,1.0
6,"Carbon dioxide, from soil or biomass stock",Emission to air,low population density,1.0,1.0
7,"Carbon dioxide, from soil or biomass stock",Emission to air,unspecified,1.0,1.0
8,"Carbon dioxide, land transformation",Emission to air,lower stratosphere + upper troposphere,1.0,1.0
9,"Carbon dioxide, land transformation",Emission to air,high population density,1.0,1.0
10,"Carbon dioxide, land transformation",Emission to air,"low population density, long-term",1.0,1.0
11,"Carbon dioxide, to soil or biomass stock",Emission to soil,agricultural,-1.0,-1.0
12,"Carbon dioxide, to soil or biomass stock",Emission to soil,unspecified,-1.0,-1.0
13,"Carbon dioxide, to soil or biomass stock",Emission to soil,industrial,-1.0,-1.0
14,"Carbon dioxide, to soil or biomass stock",Emission to soil,forestry,-1.0,-1.0
15,"Carbon monoxide, biogenic",Emission to air,lower stratosphere + upper troposphere,7.65,2.491
16,"Carbon monoxide, biogenic",Emission to air,"low population density, long-term",7.65,2.491
17,"Carbon monoxide, fossil",Emission to air,lower stratosphere + upper troposphere,9.2214,4.0624
18,"Carbon monoxide, fossil",Emission to air,"low population density, long-term",9.2214,4.0624
19,"Carbon monoxide, fossil",Emission to air,high population density,9.2214,4.0624
20,"Carbon monoxide, fossil",Emission to air,unspecified,9.2214,4.0624
21,"Carbon monoxide, fossil",Emission to air,low population density,9.2214,4.0624
22,"Carbon monoxide, from soil or biomass stock",Emission to air,low population density,9.2214,4.0624
23,"Carbon monoxide, from soil or biomass stock",Emission to air,indoor,9.2214,4.0624
24,"Carbon monoxide, from soil or biomass stock",Emission to air,unspecified,9.2214,4.0624
25,"Carbon monoxide, from soil or biomass stock",Emission to air,lower stratosphere + upper troposphere,9.2214,4.0624
26,"Carbon monoxide, from soil or biomass stock",Emission to air,high population density,9.2214,4.0624
27,"Carbon monoxide, from soil or biomass stock",Emission to air,"low population density, long-term",9.2214,4.0624
28,"Carbon monoxide, non-fossil",Emission to air,high population density,7.65,2.491
29,"Carbon monoxide, non-fossil",Emission to air,unspecified,7.65,2.491
30,"Carbon monoxide, non-fossil",Emission to air,low population density,7.65,2.491
31,Chloroform,Emission to air,unspecified,60.29647382,16.40180896
32,Chloroform,Emission to air,low population density,60.29647382,16.40180896
33,Chloroform,Emission to air,high population density,60.29647382,16.40180896
34,Chloroform,Emission to air,lower stratosphere + upper troposphere,60.29647382,16.40180896
35,Chloroform,Emission to air,"low population density, long-term",60.29647382,16.40180896
36,Dinitrogen monoxide,Emission to air,"low population density, long-term",263.7,264.8
37,Dinitrogen monoxide,Emission to air,lower stratosphere + upper troposphere,263.7,264.8
38,Dinitrogen monoxide,Emission to air,unspecified,263.7,264.8
39,Dinitrogen monoxide,Emission to air,low population density,263.7,264.8
40,Dinitrogen monoxide,Emission to air,high population density,263.7,264.8
41,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Emission to air,high population density,3710.4788196,1301.27019996
42,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Emission to air,low population density,3710.4788196,1301.27019996
43,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Emission to air,"low population density, long-term",3710.4788196,1301.27019996
44,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Emission to air,lower stratosphere + upper troposphere,3710.4788196,1301.27019996
45,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Emission to air,unspecified,3710.4788196,1301.27019996
46,"Ethane, 1,1,1-trichloro-, HCFC-140",Emission to air,lower stratosphere + upper troposphere,577.77621224,160.09863099
47,"Ethane, 1,1,1-trichloro-, HCFC-140",Emission to air,high population density,577.77621224,160.09863099
48,"Ethane, 1,1,1-trichloro-, HCFC-140",Emission to air,low population density,577.77621224,160.09863099
