Region,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,PRODUCT
Former USSR,19462.9,20999.6,23366.8,23071.7,22655.7,21746.0,22335.2,22518.0,22781.0,23190.3,25665.6,27092.9,NH3
North America,13871.2,14687.1,15457.8,15162.9,15717.7,15795.4,16611.4,17408.4,18603.3,20447.3,21181.9,21943.1,NH3
Latin America,9482.800000000001,9924.1,9929.599999999999,9548.599999999999,9057.800000000001,8857.8,8612.6,9015.1,8839.2,7664.6,7103.8,6453.000000000001,NH3
Africa,5806.5,6331.2,5850.4,5691.800000000001,5266.999999999999,5335.099999999999,5405.999999999999,7411.299999999999,8318.5,10047.4,9532.4,9419.0,NH3
Middle East,11055.6,12699.3,14193.1,14601.4,15145.3,15314.9,15686.8,16625.3,17611.5,18320.1,17242.2,17671.0,NH3
South Asia,16839.6,17137.8,17103.8,16635.4,17203.7,17176.6,18238.0,18846.2,18484.5,18946.6,19606.8,20057.3,NH3
North East Asia,59624.09999999999,57445.09999999999,58749.00000000001,62950.4,70800.79999999999,68712.20000000001,71339.7,65032.89999999999,61802.49999999999,62219.89999999999,64200.7,64607.7,NH3
Oceania,1799.4,1916.8,1507.6,1780.8,1876.2,1802.2,2084.5,2053.3,2150.8,1805.4,1965.0,2054.7,NH3
Europe,14489.2,16268.9,16821.0,17141.6,16906.7,16793.8,16587.5,16407.0,16918.5,16272.9,15801.6,16094.5,NH3
Former USSR,14378.1,14606.0,16130.0,16244.6,16044.8,15878.6,15950.5,16705.1,16620.1,16804.5,17785.9,18835.5,AN
North America,7343.7,7823.400000000001,8141.0,8167.8,8355.3,8368.9,8304.3,8844.3,9182.6,9604.4,9739.8,9525.300000000001,AN
Latin America,1322.0,1624.4,1795.5,1828.5,1737.2,1783.8,1752.6,1630.2,1508.1,1562.7,1512.4,1510.0,AN
Africa,2654.0,2600.7,2560.0,2714.300000000001,2714.5,2854.1,2581.3,2613.099999999999,2866.5,2908.8,2616.8,2527.6,AN
Middle East,619.6,747.9,601.2,661.5,724.1,870.4000000000001,901.8,762.3,506.8,676.0999999999999,626.4,522.5,AN
South Asia,328.5,357.2,400.0,428.6,514.3,514.3,528.6,542.9,528.6,557.1,542.9,528.6,AN
North East Asia,3885.900000000001,4564.299999999999,4750.599999999999,5448.1,6646.0,7026.799999999999,6096.999999999999,5971.999999999999,6255.299999999999,7039.599999999999,6647.900000000001,7205.0,AN
Oceania,1647.1,1647.1,1588.2,1764.7,1823.5,1911.8,1823.5,1838.2,1882.4,1911.8,1941.2,1970.6,AN
Europe,9000.2,8679.4,9066.099999999999,9695.599999999999,9545.8,9414.6,8630.9,7914.599999999999,8069.700000000001,7826.2,7621.799999999999,7974.400000000001,AN
Former USSR,2020.3,2313.5,2432.2,2343.6,2335.0,2042.2,2068.4,2149.1,2100.0,2246.4,2219.3,2261.6,AS
North America,3181.5,3416.6,3750.5,4275.7,4258.1,4374.2,4347.2,4086.2,4001.0,3960.0,4041.4,4047.7,AS
Latin America,1548.5,1640.7,1603.5,1585.7,1589.5,1681.8,1626.6,1270.9,1017.2,785.1999999999999,799.6,761.8,AS
Africa,236.1,266.8,249.5,232.6,359.1,411.6999999999999,435.7,440.5,498.8,406.3,418.1,415.1,AS
Middle East,306.1,253.6,218.2,286.7,236.8,144.8,142.6,240.9,249.8,155.2,244.6,958.1999999999999,AS
South Asia,605.0,633.0,631.3,570.2,600.0,576.0,603.0,612.0,675.0,642.1,774.5,844.0,AS
North East Asia,6315.7,6847.099999999999,7278.0,7727.900000000001,8206.0,9251.1,10598.5,10634.7,12692.4,12788.0,13791.5,13409.8,AS
Oceania,513.5,448.0,491.1,470.5,403.3,421.2,407.9,425.0,471.2,440.0,477.3,449.5,AS
Europe,4754.7,5150.0,4753.8,5029.5,5019.6,5040.8,5167.6,4921.0,5151.999999999999,4914.4,4895.8,4816.7,AS
Former USSR,825.1,1246.9,1437.6,1367.3,1177.8,1423.5,1247.6,1025.1,1018.5,1097.1,1349.8,1245.9,CAN
North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN
Latin America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN
Africa,279.8,300.3,293.2,319.0,288.3,304.9,257.1,199.2,237.2,211.7,176.8,195.0,CAN
Middle East,1024.5,994.3,1121.0,773.4,713.7,763.0999999999999,525.1,521.6,782.4,1022.7,1382.1,1498.8,CAN
South Asia,472.5,628.0,706.1,589.4,536.5,493.9,690.3,629.0,612.9,475.0,403.4,757.8,CAN
North East Asia,259.3,314.8,333.3,351.9,370.4,388.9,370.4,388.9,370.4,333.3,333.3,333.3,CAN
Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN
Europe,10766.5,10659.5,11252.099999999999,10646.500000000002,11020.2,11878.5,11668.7,11770.500000000002,12017.699999999999,11508.8,11445.099999999999,11614.2,CAN
Former USSR,11692.4,11543.7,12939.7,13225.6,11876.7,11955.2,12631.2,13464.0,13604.1,13612.6,15264.8,16583.0,UREA
North America,9677.4,9833.7,10255.8,10005.5,9992.0,9826.5,10077.7,11589.0,12729.5,14399.7,14911.8,15571.3,UREA
Latin America,4739.1,5060.799999999999,5464.199999999999,5044.799999999999,4554.0,4223.1,4458.6,4834.699999999999,4488.599999999999,3637.9,3430.9,3045.2,UREA
Africa,5602.1,5951.3,5259.599999999999,4807.2,4762.200000000001,4499.4,4897.700000000001,8132.7,9591.0,11463.7,11085.6,11647.1,UREA
Middle East,14302.5,16087.1,17473.6,18305.7,20131.1,19457.5,21287.2,22765.5,23292.0,24164.7,23085.9,23507.1,UREA
South Asia,27886.2,28264.8,28718.4,27985.4,29325.7,28954.7,30486.8,31796.6,30881.5,30988.9,31986.1,33041.2,UREA
North East Asia,65363.40000000001,64326.5,65388.1,72511.40000000001,78301.09999999999,77227.6,82148.40000000001,71343.5,65254.5,64371.7,67794.1,68504.20000000001,UREA
Oceania,524.9,531.7,314.1,451.1,500.1,513.4,457.9,418.4,486.4,444.4,460.0,416.1,UREA
Europe,7686.3,8010.2,8794.1,9515.5,9280.2,9395.6,8334.300000000001,8537.6,8944.7,8771.4,8703.599999999999,9177.400000000001,UREA
